e0d16f274fbf84050162cd7e765d30bd,"Multistate"
s113c10d,"Evaluate the impact of World War II and its aftermath on literature, art, and intellectual life in Europe and other parts of the world. [Analyze cause-and-effect relationships]"
s113c10e,"Evaluate the meaning and social impact of innovative movements in literature and the arts such as Existentialism, Abstract Expressionism, or Pop Art. [Draw upon visual and literary sources]"
s113c10f,"Assess the influence of television, the Internet, and other forms of electronic communication on the creation and diffusion of cultural and political information worldwide. [Formulate historical questions]"
s113c110,"Analyze connections among electronic communications, international marketing, and the emergence of popular ""global culture"" in the late 20th century. [Obtain historical data from a variety of sources]"
s113c111,"Describe varieties of religious belief and practice in the contemporary world and analyze how the world's religions have responded to challenges and uncertainties of the late 20th century. [Analyze the influence of ideas]"
s113c112,"Describe ways in which art, literature, religion, and traditional customs have expressed or strengthened national or other communal loyalties in recent times. [Examine the influence of ideas, human interests, and beliefs]"
s113be85,"Standard 3: Major global trends since World War II"
s113beff,"Standard 3A<br />The student understands major global trends since World War II."
s113c113,"Explain the changing configuration of political boundaries in the world since 1900 and analyze connections between nationalist ideology and the proliferation of sovereign states. [Marshal evidence of antecedent circumstances]"
s113c114,"Explain why the Cold War took place and ended and assess its significance as a 20th-century event. [Analyze multiple causation]"
s113c115,"Compare causes, consequences, and major patterns of international migrations in the late 20th century with world population movements of the 19th century and the first half of the 20th. [Draw comparisons across eras and regions]"
s113c116,"Define ""postindustrial society"" and assess the usefulness of this concept in comparing the late 20th century with the period from the industrial revolution to 1950. [Draw comparisons across eras and regions]"
s113c117,"Assess the degree to which both human rights and democratic ideals and practices have been advanced in the world during the 20th century. [Formulate historical questions]"
s113c118,"Analyze causes of economic imbalances and social inequalities among the world's peoples and assess efforts made to close these gaps. [Employ quantitative analysis]"
s113c119,"Analyze causes and consequences of the world's shift from bipolar to multipolar centers of economic, political, and military power. [Analyze cause-and-effect relationships]"
s113c11a,"Analyze connections between globalizing trends in economy, technology, and culture in the late 20th century and dynamic assertions of traditional cultural identity and distinctiveness. [Analyze cause-and-effect relationships]"
s113be58,"World History Across the Eras"
s113be86,"Standard 1: Long-term changes and recurring patterns in world history"
s113c0d2,"Trace major changes in world population from paleolithic times to the present and explain why these changes occurred, including the effects of major disease pandemics."
s113c0d3,"Analyze why humans have built cities and how the character, function, and number of cities have changed over time."
s113c0d4,"Assess the usefulness of the concept that the revolutions of tool-making, agriculture, and industrialization constituted the three most important turning points in human history."
s113c0d5,"Trace major patterns of long-distance trade from ancient times to the present and analyze ways in which trade has contributed to economic and cultural change in particular societies or civilizations."
s113c0d6,"Analyze the origins, development, and characteristics of capitalism and compare capitalist systems with other systems for organizing production, labor, and trade."
s113c0d7,"Analyze how ideals and institutions of freedom, equality, justice, and citizenship have changed over time and from one society to another."
s113c0d8,"Compare the economic and social importance of slavery and other forms of coerced labor in various societies from ancient times to the present."
s113c0d9,"Analyze the development of the nation-state and how nation-states differ from empires or other forms of political organization."
s113c0da,"Analyze the circumstances under which European countries came to exercise temporary military and economic dominance in the world in the late 19th and 20th centuries."
s113c0db,"Compare political revolutionary movements of the past three centuries in terms of ideologies, organization, and successes or failures."
s113c0dc,"Analyze ways in which human action has contributed to long-term changes in the natural environment in particular regions or worldwide."
a5dc432130909cdd31a86acc56441a50,"National Geography Education Standards"
s103e239,"The World in Spatial Terms"
s103e23f,"How to use maps and other geographic representations, tools, and technologies to acquire, process, and report information."
s103e240,"How to use mental maps to organize information about people, places, and environments."
s103e241,"How to analyze the spatial organization of people, places, and environments on Earth's surface."
s103e23a,"Places and Regions"
s103e242,"The physical and human characteristics of places."
s103e243,"That people create regions to interpret Earth's complexity."
s103e244,"How culture and experience influence people's perception of places and regions."
s103e23b,"Physical Systems"
s103e245,"The physical processes that shape the patterns of Earth's surface."
s103e246,"The characteristics and spatial distribution of ecosystems on Earth's surface."
s103e23c,"Human Systems"
s103e247,"The characteristics, distribution, and migration of human populations on Earth's surface."
s103e248,"The characteristics, distributions, and complexity of Earth's cultural mosaics."
s103e249,"The patterns and networks of economic interdependence on Earth's surface."
s103e24a,"The process, patterns, and functions of human settlement."
s103e24b,"How forces of cooperation and conflict among people influence the division and control of Earth's surface."
s103e23d,"Environment and Society"
s103e24c,"How human actions modify the physical environment."
s103e24d,"How physical systems affect human systems."
s103e24e,"The changes that occur in the meaning, use, distribution, and importance of resources."
s103e23e,"The Uses of Geography"
s103e250,"How to apply geography to interpret the past."
s103e251,"How to apply geography to interpret the present and plan for the future."
a36b98469a8e0254eeeee52dfd7f133b,"National Science Education Standards"
s102db25,"Unifying Concepts and Processes"
s102dba9,"Systems, Order, and Organization"
s102dbae,"The natural and designed world is complex; it is too large and complicated to investigate and comprehend all at once. Scientists and students learn to define small portions for the convenience of investigation. The units of investigation can be referred to as ""systems."" A system is an organized group of related objects or components that form a whole. Systems can consist, for example, of organisms, machines, fundamental particles, galaxies, ideas, numbers, transportation, and education. Systems have boundaries, components, resources flow (input and output), and feedback.<br /><br /> The goal of this standard is to think and analyze in terms of systems. Thinking and analyzing in terms of systems will help students keep track of mass, energy, objects, organisms, and events referred to in the other content standards. The idea of simple systems encompasses subsystems as well as identifying the structure and function of systems, feedback and equilibrium, and the distinction between open and closed systems.<br /><br /> Science assumes that the behavior of the universe is not capricious, that nature is the same everywhere, and that it is understandable and predictable. Students can develop an understanding of regularities in systems, and by extension, the universe; they then can develop understanding of basic laws, theories, and models that explain the world.<br /><br /> Newton's laws of force and motion, Kepler's laws of planetary motion, conservation laws, Darwin's laws of natural selection, and chaos theory all exemplify the idea of order and regularity. An assumption of order establishes the basis for cause-effect relationships and predictability.<br /><br /> Prediction is the use of knowledge to identify and explain observations, or changes, in advance. The use of mathematics, especially probability, allows for greater or lesser certainty of predictions. <br /><br /> Order--the behavior of units of matter, objects, organisms, or events in the universe--can be described statistically. Probability is the relative certainty (or uncertainty) that individuals can assign to selected events happening (or not happening) in a specified space or time. In science, reduction of uncertainty occurs through such processes as the development of knowledge about factors influencing objects, organisms, systems, or events; better and more observations; and better explanatory models.<br /><br /> Types and levels of organization provide useful ways of thinking about the world. Types of organization include the periodic table of elements and the classification of organisms. Physical systems can be described at different levels of organization--such as fundamental particles, atoms, and molecules. Living systems also have different levels of organization--for example, cells, tissues, organs, organisms, populations, and communities. The complexity and number of fundamental units change in extended hierarchies of organization. Within these systems, interactions between components occur. Further, systems at different levels of organization can manifest different properties and functions."
s102dbaa,"Evidence, Models, and Explanation"
s102dbaf,"Evidence consists of observations and data on which to base scientific explanations. Using evidence to understand interactions allows individuals to predict changes in natural and designed systems.<br /><br /> Models are tentative schemes or structures that correspond to real objects, events, or classes of events, and that have explanatory power. Models help scientists and engineers understand how things work. Models take many forms, including physical objects, plans, mental constructs, mathematical equations, and computer simulations.<br /><br /> Scientific explanations incorporate existing scientific knowledge and new evidence from observations, experiments, or models into internally consistent, logical statements. Different terms, such as ""hypothesis,"" ""model,"" ""law,"" ""principle,"" ""theory,"" and ""paradigm"" are used to describe various types of scientific explanations. As students develop and as they understand more science concepts and processes, their explanations should become more sophisticated. That is, their scientific explanations should more frequently include a rich scientific knowledge base, evidence of logic, higher levels of analysis, greater tolerance of criticism and uncertainty, and a clearer demonstration of the relationship between logic, evidence, and current knowledge."
s102dbab,"Constancy, Change, and Measurement"
s102dbb0,"Although most things are in the process of becoming different--changing--some properties of objects and processes are characterized by constancy, including the speed of light, the charge of an electron, and the total mass plus energy in the universe. Changes might occur, for example, in properties of materials, position of objects, motion, and form and function of systems. Interactions within and among systems result in change. Changes vary in rate, scale, and pattern, including trends and cycles.<br /><br /> Energy can be transferred and matter can be changed. Nevertheless, when measured, the sum of energy and matter in systems, and by extension in the universe, remains the same.<br /><br /> Changes in systems can be quantified. Evidence for interactions and subsequent change and the formulation of scientific explanations are often clarified through quantitative distinctions--measurement. Mathematics is essential for accurately measuring change.<br /><br /> Different systems of measurement are used for different purposes. Scientists usually use the metric system. An important part of measurement is knowing when to use which system. For example, a meteorologist might use degrees Fahrenheit when reporting the weather to the public, but in writing scientific reports, the meteorologist would use degrees Celsius.<br /><br /> Scale includes understanding that different characteristics, properties, or relationships within a system might change as its dimensions are increased or decreased.<br /><br /> Rate involves comparing one measured quantity with another measured quantity, for example, 60 meters per second. Rate is also a measure of change for a part relative to the whole, for example, change in birth rate as part of population growth."
s102dbac,"Evolution and Equilibrium"
s102dbb1,"Evolution is a series of changes, some gradual and some sporadic, that accounts for the present form and function of objects, organisms, and natural and designed systems. The general idea of evolution is that the present arises from materials and forms of the past. Although evolution is most commonly associated with the biological theory explaining the process of descent with modification of organisms from common ancestors, evolution also describes changes in the universe.<br /><br /> Equilibrium is a physical state in which forces and changes occur in opposite and off-setting directions: for example, opposite forces are of the same magnitude, or off-setting changes occur at equal rates. Steady state, balance, and homeostasis also describe equilibrium states. Interacting units of matter tend toward equilibrium states in which the energy is distributed as randomly and uniformly as possible."
s102dbad,"Form and Function"
s102dbb2,"Form and function are complementary aspects of objects, organisms, and systems in the natural and designed world. The form or shape of an object or system is frequently related to use, operation, or function. Function frequently relies on form. Understanding of form and function applies to different levels of organization. Students should be able to explain function by referring to form and explain form by referring to function."
s102db1e,"Content Standard A:  Science as Inquiry"
s101d0d7,"Abilities Necessary to Do Scientific Inquiry"
s1017aa1,"Ask a question about objects, organisms, and events in the environment.  This aspect of the standard emphasizes students asking questions that they can answer with scientific knowledge, combined with their own observations.  Students should answer their questions by seeking information from reliable sources of scientific information and from their own observations and investigations."
s100405f,"Plan and conduct a simple investigation.  In the earliest years, investigations are largely based on systematic observations.  As students develop, they may design and conduct simple experiments to answer questions.  The idea of a fair test is possible for many students to consider by fourth grade."
s10141e9,"Employ simple equipment and tools to gather data and extend the senses. In early years, students develop simple skills, such as how to observe, measure, cut, connect, switch, turn on and off, pour, hold, tie, and hook.  Beginning with simple instruments, students can use rulers to measure the length, height, and depth of objects and materials; thermometers to measure temperature; watches to measure time; beam balances and spring scales to measure weight and force; magnifiers to observe objects and organisms; and microscopes to observe the finer details of plants, animals, rocks, and other materials.  Children also develop skills in the use of computers and calculators for conducting investigations."
s100f3e2,"Use data to construct a reasonable explanation. This aspect of the standard emphasizes the students' thinking as they use data to formulate explanations.  Even at the earliest grade levels, students should learn what constitutes evidence and judge the merits or strength of data and information that will be used to make explanations.  After students propose an explanation, they will appeal to the knowledge and evidence they obtained to support their explanations.  Students should check their explanations against scientific knowledge, experiences, and observations of others."
s1011d26,"Communicate investigations and explanations. Students should begin developing the abilities to communicate, critique, and analyze their work and the work of other students. This communication might be spoken or drawn as well as written."
s1003bff,"Identify questions that can be answered through scientific investigations. Students should develop the ability to refine and refocus broad and ill-defined questions. An important aspect of this ability consists of students' ability to clarify questions and inquiries and direct them toward objects and phenomena that can be described, explained, or predicted by scientific investigations. Students should develop the ability to identify their questions with scientific ideas, concepts, and quantitative relationships that guide investigation."
s100f595,"Design and conduct a scientific investigation. Students should develop general abilities, such as systematic observation, making accurate measurements, and identifying and controlling variables. They should also develop the ability to clarify their ideas that are influencing and guiding the inquiry, and to understand how those ideas compare with current scientific knowledge. Students can learn to formulate questions, design investigations, execute investigations, interpret data, use evidence to generate explanations, propose alternative explanations, and critique explanations and procedures."
s102382a,"Use appropriate tools and techniques to gather, analyze, and interpret data. The use of tools and techniques, including mathematics, will be guided by the question asked and the investigations students design. The use of computers for the collection, summary, and display of evidence is part of this standard. Students should be able to access, gather, store, retrieve, and organize data, using hardware and software designed for these purposes."
s100e433,"Develop descriptions, explanations, predictions, and models using evidence. Students should base their explanation on what they observed, and as they develop cognitive skills, they should be able to differentiate explanation from description--providing causes for effects and establishing relationships based on evidence and logical argument. This standard requires a subject matter knowledge base so the students can effectively conduct investigations, because developing explanations establishes connections between the content of science and the contexts within which students develop new knowledge."
s101917b,"Think critically and logically to make the relationships between evidence and explanations. Thinking critically about evidence includes deciding what evidence should be used and accounting for anomalous data. Specifically, students should be able to review data from a simple experiment, summarize the data, and form a logical argument about the cause-and-effect relationships in the experiment. Students should begin to state some explanations in terms of the relationship between two or more variables."
s1007834,"Recognize and analyze alternative explanations and predictions. Students should develop the ability to listen to and respect the explanations proposed by other students. They should remain open to and acknowledge different ideas and explanations, be able to accept the skepticism of others, and consider alternative explanations."
s101adbd,"Communicate scientific procedures and explanations. With practice, students should become competent at communicating experimental methods, following instructions, describing observations, summarizing the results of other groups, and telling other students about investigations and explanations."
s101cf08,"Use mathematics in all aspects of scientific inquiry. Mathematics is essential to asking and answering questions about the natural world. Mathematics can be used to ask questions; to gather, organize, and present data; and to structure convincing explanations."
s1001aa9,"Identify questions and concepts that guide scientific investigations. Students should formulate a testable hypothesis and demonstrate the logical connections between the scientific concepts guiding a hypothesis and the design of an experiment. They should demonstrate appropriate procedures, a knowledge base, and conceptual understanding of scientific investigations."
s101900e,"Design and conduct scientific investigations. Designing and conducting a scientific investigation requires introduction to the major concepts in the area being investigated, proper equipment, safety precautions, assistance with methodological problems, recommendations for use of technologies, clarification of ideas that guide the inquiry, and scientific knowledge obtained from sources other than the actual investigation. The investigation may also require student clarification of the question, method, controls, and variables; student organization and display of data; student revision of methods and explanations; and a public presentation of the results with a critical response from peers. Regardless of the scientific investigation performed, students must use evidence, apply logic, and construct an argument for their proposed explanations."
s1015516,"Use technology and mathematics to improve investigations and communications. A variety of technologies, such as hand tools, measuring instruments, and calculators, should be an integral component of scientific investigations. The use of computers for the collection, analysis, and display of data is also a part of this standard. Mathematics plays an essential role in all aspects of an inquiry. For example, measurement is used for posing questions, formulas are used for developing explanations, and charts and graphs are used for communicating results."
s101cc90,"Formulate and revise scientific explanations and models using logic and evidence. Student inquiries should culminate in formulating an explanation or model. Models should be physical, conceptual, and mathematical. In the process of answering the questions, the students should engage in discussions and arguments that result in the revision of their explanations. These discussions should be based on scientific knowledge, the use of logic, and evidence from their investigation."
s101bde3,"Recognize and analyze alternative explanations and models. This aspect of the standard emphasizes the critical abilities of analyzing an argument by reviewing current scientific understanding, weighing the evidence, and examining the logic so as to decide which explanations and models are best. In other words, although there may be several plausible explanations, they do not all have equal weight. Students should be able to use scientific criteria to find the preferred explanations."
s100c3a5,"Communicate and defend a scientific argument. Students in school science programs should develop the abilities associated with accurate and effective communication. These include writing and following procedures, expressing concepts, reviewing information, summarizing data, using language appropriately, developing diagrams and charts, explaining statistical analysis, speaking clearly and logically, constructing a reasoned argument, and responding appropriately to critical comments."
s101fd8a,"Understandings About Scientific Inquiry"
s1002bde,"Scientific investigations involve asking and answering a question and comparing the answer with what scientists already know about the world."
s1004cc9,"Scientists use different kinds of investigations depending on the questions they are trying to answer.  Types of investigations include describing objects, events, and organisms; classifying them; and doing a fair test (experimenting)."
s1018f69,"Simple instruments, such as magnifiers, thermometers, and rulers, provide more information than scientists obtain using only their senses."
s1026850,"Scientists develop explanations using observations (evidence) and what they already know about the world (scientific knowledge). Good explanations are based on evidence from investigations."
s1006296,"Scientists make the results of their investigations public; they describe the investigations in ways that enable others to repeat the investigations."
s10130a9,"Scientists review and ask questions about the results of other scientists' work."
s1014165,"Different kinds of questions suggest different kinds of scientific investigations. Some investigations involve observing and describing objects, organisms, or events; some involve collecting specimens; some involve experiments; some involve seeking more information; some involve discovery of new objects and phenomena; and some involve making models."
s10069e7,"Current scientific knowledge and understanding guide scientific investigations. Different scientific domains employ different models, core theories, and standards to advance scientific knowledge and understanding."
s101128d,"Mathematics is important in all aspects of scientific inquiry."
s1010ef9,"Technology used to gather data enhances accuracy and allows scientists to analyze and quantify results of investigations."
s101e6c9,"Scientific explanations emphasize evidence, have logically consistent arguments, and use scientific principles, models, and theories. The scientific community accepts and uses such explanations until displaced by better scientific ones. When such displacement occurs, science advances."
s100a7db,"Science advances through legitimate skepticism. Asking questions and querying other scientists' explanations is part of scientific inquiry. Scientists evaluate the explanations proposed by other scientists by examining evidence, comparing evidence, identifying faulty reasoning, pointing out statements that go beyond the evidence, and suggesting alternative explanations for the same observations."
s10145a6,"Scientific investigations sometimes result in new ideas and phenomena for study, generate new methods or procedures for an investigation, or develop new technologies to improve the collection of data. All of these results can lead to new investigations."
s100fc3e,"Scientists usually inquire about how physical, living, or designed systems function. Conceptual principles and knowledge guide scientific inquiries. Historical and current scientific knowledge influence the design and interpretation of investigations and the evaluation of proposed explanations made by other scientists."
s101d529,"Scientists conduct investigations for a wide variety of reasons. For example, they may wish to discover new aspects of the natural world, explain recently observed phenomena, or test the conclusions of prior investigations or the predictions of current theories."
s10198f8,"Scientists rely on technology to enhance the gathering and manipulation of data. New techniques and tools provide new evidence to guide inquiry and new methods to gather data, thereby contributing to the advance of science. The accuracy and precision of the data, and therefore the quality of the exploration, depends on the technology used."
s101d88f,"Mathematics is essential in scientific inquiry. Mathematical tools and models guide and improve the posing of questions, gathering data, constructing explanations and communicating results."
s10196d4,"Scientific explanations must adhere to criteria such as: a proposed explanation must be logically consistent; it must abide by the rules of evidence; it must be open to questions and possible modification; and it must be based on historical and current scientific knowledge."
s10245a5,"Results of scientific inquiry--new knowledge and methods--emerge from different types of investigations and public communication among scientists. In communicating and defending the results of scientific inquiry, arguments must be logical and demonstrate connections between natural phenomena, investigations, and the historical body of scientific knowledge. In addition, the methods and procedures that scientists used to obtain evidence must be clearly reported to enhance opportunities for further investigation."
s102db1f,"Content Standard B:  Physical Science"
s10113aa,"Properties of Objects and Materials"
s10154ef,"Objects have many observable properties, including size, weight, shape, color, temperature, and the ability to react with other substances. Those properties can be measured using tools, such as rulers, balances, and thermometers."
s1016f9d,"Objects are made of one or more materials, such as paper, wood, and metal. Objects can be described by the properties of the materials from which they are made, and those properties can be used to separate or sort a group of objects or materials."
s101d9f7,"Materials can exist in different states--solid, liquid, and gas. Some common materials, such as water, can be changed from one state to another by heating or cooling."
s100b227,"Position and Motion of Objects"
s1014499,"The position of an object can be described by locating it relative to another object or the background."
s1000354,"An object's motion can be described by tracing and measuring its position over time."
s1014940,"The position and motion of objects can be changed by pushing or pulling. The size of the change is related to the strength of the push or pull."
s101c4b6,"Sound is produced by vibrating objects. The pitch of the sound can be varied by changing the rate of vibration."
s1007529,"Light, Heat, Electricity, and Magnetism"
s1003d0d,"Light travels in a straight line until it strikes an object. Light can be reflected by a mirror, refracted by a lens, or absorbed by the object."
s10074d3,"Heat can be produced in many ways, such as burning, rubbing, or mixing one substance with another. Heat can move from one object to another by conduction."
s1001e33,"Electricity in circuits can produce light, heat, sound, and magnetic effects. Electrical circuits require a complete loop through which an electrical current can pass."
s1018f2f,"Magnets attract and repel each other and certain kinds of other materials."
s1007522,"Properties and Changes of Properties in Matter"
s100df75,"A substance has characteristic properties, such as density, a boiling point, and solubility, all of which are independent of the amount of the sample. A mixture of substances often can be separated into the original substances using one or more of the characteristic properties."
s101c536,"Substances react chemically in characteristic ways with other substances to form new substances (compounds) with different characteristic properties. In chemical reactions, the total mass is conserved. Substances often are placed in categories or groups if they react in similar ways; metals is an example of such a group."
s101bb71,"Chemical elements do not break down during normal laboratory reactions involving such treatments as heating, exposure to electric current, or reaction with acids. There are more than 100 known elements that combine in a multitude of ways to produce compounds, which account for the living and nonliving substances that we encounter."
s100de90,"Motions and Forces"
s1014f53,"The motion of an object can be described by its position, direction of motion, and speed.  That motion can be measured and represented on a graph"
s1005910,"An object that is not being subjected to a force will continue to move at a constant speed and in a straight line."
s1000dfc,"If more than one force acts on an object along a straight line, then the forces will reinforce or cancel one another, depending on their direction and magnitude. Unbalanced forces will cause changes in the speed or direction of an object's motion."
s1003918,"Objects change their motion only when a net force is applied. Laws of motion are used to calculate precisely the effects of forces on the motion of objects. The magnitude of the change in motion can be calculated using the relationship F = ma, which is independent of the nature of the force. Whenever one object exerts force on another, a force equal in magnitude and opposite in direction is exerted on the first object."
s1010a6d,"Gravitation is a universal force that each mass exerts on any other mass. The strength of the gravitational attractive force between two masses is porportional to the masses and inversely proportional to the square of the distance between them."
s1002bbe,"The electric force is a universal force that exists between any two charged objects. Opposite charges attract while like charges repel. The strength of the force is proportional to the charges, and, as with gravitation, inversely proportional to the square of the distance between them."
s101f10e,"Between any two charged particles, electric force is vastly greater than the gravitational force. Most observable forces such as those exerted by a coiled spring or friction may be traced to electric forces acting between atoms and molecules."
s100c1d2,"Electricity and magnetism are two aspects of a single electromagnetic force. Moving electric charges produce magnetic forces, and moving magnets produce electric forces. These effects help students to understand electric motors and generators."
s101f7fa,"Transfer of Energy"
s10070a0,"Energy is a property of many substances and is associated with heat, light, electricity, mechanical motion, sound, nuclei, and the nature of a chemical. Energy is transferred in many ways."
s101017d,"Heat moves in predictable ways, flowing from warmer objects to cooler ones, until both reach the same temperature."
s1015a8a,"Light interacts with matter by transmission (including refraction), absorption, or scattering (including reflection). To see an object, light from that object--emitted by or scattered from it--must enter the eye."
s10115eb,"Electrical circuits provide a means of transferring electrical energy when heat, light, sound, and chemical changes are produced."
s1020fba,"In most chemical and nuclear reactions, energy is transferred into or out of a system. Heat, light, mechanical motion, or electricity might all be involved in such transfers."
s1023de0,"The sun is a major source of energy for changes on the earth's surface. The sun loses energy by emitting light. A tiny fraction of that light reaches the earth, transferring energy from the sun to the earth. The sun's energy arrives as light with a range of wavelengths, consisting of visible light, infrared, and ultraviolet radiation."
s101c022,"Structure of Atoms"
s1023a58,"Matter is made of minute particles called atoms, and atoms are composed of even smaller components. These components have measurable properties, such as mass and electrical charge. Each atom has a positively charged nucleus surrounded by negatively charged electrons. The electric force between the nucleus and electrons holds the atom together."
s1009600,"The atom's nucleus is composed of protons and neutrons, which are much more massive than electrons. When an element has atoms that differ in the number of neutrons, these atoms are called different isotopes of the element."
s101e8fc,"The nuclear forces that hold the nucleus of an atom together, at nuclear distances, are usually stronger than the electric forces that would make it fly apart. Nuclear reactions convert a fraction of the mass of interacting particles into energy, and they can release much greater amounts of energy than atomic interactions. Fission is the splitting of a large nucleus into smaller pieces. Fusion is the joining of two nuclei at extremely high temperature and pressure, and is the process responsible for the energy of the sun and other stars."
s10111ae,"Radioactive isotopes are unstable and undergo spontaneous nuclear reactions, emitting particles and/or wavelike radiation. The decay of any one nucleus cannot be predicted, but a large group of identical nuclei decay at a predictable rate. This predictability can be used to estimate the age of materials that contain radioactive isotopes."
s1014d95,"Structure and Properties of Matter"
s101f115,"Atoms interact with one another by transferring or sharing electrons that are furthest from the nucleus. These outer electrons govern the chemical properties of the element."
s100c3d6,"An element is composed of a single type of atom. When elements are listed in order according to the number of protons (called the atomic number), repeating patterns of physical and chemical properties identify families of elements with similar properties. This ""Periodic Table"" is a consequence of the repeating pattern of outermost electrons and their permitted energies."
s101643a,"Bonds between atoms are created when electrons are paired up by being transferred or shared. A substance composed of a single kind of atom is called an element. The atoms may be bonded together into molecules or crystalline solids. A compound is formed when two or more kinds of atoms bind together chemically."
s101bb2e,"The physical properties of compounds reflect the nature of the interactions among its molecules. These interactions are determined by the structure of the molecule, including the constituent atoms and the distances and angles between them."
s101ac83,"Solids, liquids, and gases differ in the distances and angles between molecules or atoms and therefore the energy that binds them together. In solids the structure is nearly rigid; in liquids molecules or atoms move around each other but do not move apart; and in gases molecules or atoms move almost independently of each other and are mostly far apart."
s1023a5c,"Carbon atoms can bond to one another in chains, rings, and branching networks to form a variety of structures, including synthetic polymers, oils, and the large molecules essential to life."
s10077a9,"Chemical Reactions"
s1016a8d,"Chemical reactions occur all around us, for example in health care, cooking, cosmetics, and automobiles. Complex chemical reactions involving carbon-based molecules take place constantly in every cell in our bodies."
s100605e,"Chemical reactions may release or consume energy. Some reactions such as the burning of fossil fuels release large amounts of energy by losing heat and by emitting light. Light can initiate many chemical reactions such as photosynthesis and the evolution of urban smog."
s1013ca5,"A large number of important reactions involve the transfer of either electrons (oxidation/reduction reactions) or hydrogen ions (acid/base reactions) between reacting ions, molecules, or atoms. In other reactions, chemical bonds are broken by heat or light to form very reactive radicals with electrons ready to form new bonds. Radical reactions control many processes such as the presence of ozone and greenhouse gases in the atmosphere, burning and processing of fossil fuels, the formation of polymers, and explosions."
s1014f5c,"Chemical reactions can take place in time periods ranging from the few femtoseconds (10-15 seconds) required for an atom to move a fraction of a chemical bond distance to geologic time scales of billions of years. Reaction rates depend on how often the reacting atoms and molecules encounter one another, on the temperature, and on the properties--including shape--of the reacting species."
s10042c6,"Catalysts, such as metal surfaces, accelerate chemical reactions. Chemical reactions in living systems are catalyzed by protein molecules called enzymes."
s101fe1f,"Conservation of Energy and the Increase in Disorder"
s1000f96,"The total energy of the universe is constant. Energy can be transferred by collisions in chemical and nuclear reactions, by light waves and other radiations, and in many other ways. However, it can never be destroyed. As these transfers occur, the matter involved becomes steadily less ordered."
s100030f,"All energy can be considered to be either kinetic energy, which is the energy of motion; potential energy, which depends on relative position; or energy contained by a field, such as electromagnetic waves."
s101a343,"Heat consists of random motion and the vibrations of atoms, molecules, and ions. The higher the temperature, the greater the atomic or molecular motion."
s102197b,"Everything tends to become less organized and less orderly over time. Thus, in all energy transfers, the overall effect is that the energy is spread out uniformly. Examples are the transfer of energy from hotter to cooler objects by conduction, radiation, or convection and the warming of our surroundings when we burn fuels."
s10192b6,"Interactions of Energy and Matter"
s1012f2e,"Waves, including sound and seismic waves, waves on water, and light waves, have energy and can transfer energy when they interact with matter."
s100f634,"Electromagnetic waves result when a charged object is accelerated or decelerated. Electromagnetic waves include radio waves (the longest wavelength), microwaves, infrared radiation (radiant heat), visible light, ultraviolet radiation, x-rays, and gamma rays. The energy of electromagnetic waves is carried in packets whose magnitude is inversely proportional to the wavelength."
s1025637,"Each kind of atom or molecule can gain or lose energy only in particular discrete amounts and thus can absorb and emit light only at wavelengths corresponding to these amounts. These wavelengths can be used to identify the substance."
s100dbcb,"In some materials, such as metals, electrons flow easily, whereas in insulating materials such as glass they can hardly flow at all. Semiconducting materials have intermediate behavior. At low temperatures some materials become superconductors and offer no resistance to the flow of electrons."
s102db20,"Content Standard C:  Life Science"
s101d6db,"The Characteristics of Organisms"
s1023464,"Organisms have basic needs. For example, animals need air, water, and food; plants require air, water, nutrients, and light. Organisms can survive only in environments in which their needs can be met. The world has many different environments, and distinct environments support the life of different types of organisms."
s101b718,"Each plant or animal has different structures that serve different functions in growth, survival, and reproduction. For example, humans have distinct body structures for walking, holding, seeing, and talking."
s1018473,"The behavior of individual organisms is influenced by internal cues (such as hunger) and by external cues (such as a change in the environment). Humans and other organisms have senses that help them detect internal and external cues."
s100d316,"Life Cycles of Organisms"
s101079b,"Plants and animals have life cycles that include being born, developing into adults, reproducing, and eventually dying. The details of this life cycle are different for different organisms."
s1011457,"Plants and animals closely resemble their parents."
s1007190,"Many characteristics of an organism are inherited from the parents of the organism, but other characteristics result from an individual's interactions with the environment. Inherited characteristics include the color of flowers and the number of limbs of an animal. Other features, such as the ability to ride a bicycle, are learned through interactions with the environment and cannot be passed on to the next generation."
s100d65a,"Organisms and Their Environments"
s101c0db,"All animals depend on plants. Some animals eat plants for food. Other animals eat animals that eat the plants."
s100be8d,"An organism's patterns of behavior are related to the nature of that organism's environment, including the kinds and numbers of other organisms present, the availability of food and resources, and the physical characteristics of the environment. When the environment changes, some plants and animals survive and reproduce, and others die or move to new locations."
s100ba3c,"All organisms cause changes in the environment where they live. Some of these changes are detrimental to the organism or other organisms, whereas others are beneficial."
s1007274,"Humans depend on their natural and constructed environments. Humans change environments in ways that can be either beneficial or detrimental for themselves and other organisms."
s1014c32,"Structure and Function in Living Systems"
s101f406,"Living systems at all levels of organization demonstrate the complementary nature of structure and function. Important levels of organization for structure and function include cells, organs, tissues, organ systems, whole organisms, and ecosystems."
